image_path1,class1,image_path2,class2,label
dataset/train/48_L/48_L_1_norm.jpg,50,dataset/train/48_L/48_L_5_norm.jpg,50,1
dataset/train/48_L/48_L_1_norm.jpg,50,dataset/train/48_L/48_L_6_norm.jpg,50,1
dataset/train/48_L/48_L_1_norm.jpg,50,dataset/train/48_L/48_L_7_norm.jpg,50,1
dataset/train/48_L/48_L_5_norm.jpg,50,dataset/train/48_L/48_L_6_norm.jpg,50,1
dataset/train/48_L/48_L_5_norm.jpg,50,dataset/train/48_L/48_L_7_norm.jpg,50,1
dataset/train/48_L/48_L_6_norm.jpg,50,dataset/train/48_L/48_L_7_norm.jpg,50,1
dataset/train/92_L/92_L_1_norm.jpg,98,dataset/train/92_L/92_L_4_norm.jpg,98,1
dataset/train/92_L/92_L_1_norm.jpg,98,dataset/train/92_L/92_L_3_norm.jpg,98,1
dataset/train/92_L/92_L_1_norm.jpg,98,dataset/train/92_L/92_L_2_norm.jpg,98,1
dataset/train/92_L/92_L_4_norm.jpg,98,dataset/train/92_L/92_L_3_norm.jpg,98,1
dataset/train/92_L/92_L_4_norm.jpg,98,dataset/train/92_L/92_L_2_norm.jpg,98,1
dataset/train/92_L/92_L_3_norm.jpg,98,dataset/train/92_L/92_L_2_norm.jpg,98,1
dataset/train/64_L/64_L_5_norm.jpg,68,dataset/train/64_L/64_L_7_norm.jpg,68,1
dataset/train/64_L/64_L_5_norm.jpg,68,dataset/train/64_L/64_L_6_norm.jpg,68,1
dataset/train/64_L/64_L_5_norm.jpg,68,dataset/train/64_L/64_L_4_norm.jpg,68,1
dataset/train/64_L/64_L_7_norm.jpg,68,dataset/train/64_L/64_L_6_norm.jpg,68,1
dataset/train/64_L/64_L_7_norm.jpg,68,dataset/train/64_L/64_L_4_norm.jpg,68,1
dataset/train/64_L/64_L_6_norm.jpg,68,dataset/train/64_L/64_L_4_norm.jpg,68,1
dataset/train/107_L/107_L_7_norm.jpg,7,dataset/train/107_L/107_L_4_norm.jpg,7,1
dataset/train/107_L/107_L_7_norm.jpg,7,dataset/train/107_L/107_L_1_norm.jpg,7,1
dataset/train/107_L/107_L_7_norm.jpg,7,dataset/train/107_L/107_L_6_norm.jpg,7,1
dataset/train/107_L/107_L_4_norm.jpg,7,dataset/train/107_L/107_L_1_norm.jpg,7,1
dataset/train/107_L/107_L_4_norm.jpg,7,dataset/train/107_L/107_L_6_norm.jpg,7,1
dataset/train/107_L/107_L_1_norm.jpg,7,dataset/train/107_L/107_L_6_norm.jpg,7,1
dataset/train/55_L/55_L_3_norm.jpg,58,dataset/train/55_L/55_L_5_norm.jpg,58,1
dataset/train/55_L/55_L_3_norm.jpg,58,dataset/train/55_L/55_L_2_norm.jpg,58,1
dataset/train/55_L/55_L_3_norm.jpg,58,dataset/train/55_L/55_L_7_norm.jpg,58,1
dataset/train/55_L/55_L_5_norm.jpg,58,dataset/train/55_L/55_L_2_norm.jpg,58,1
dataset/train/55_L/55_L_5_norm.jpg,58,dataset/train/55_L/55_L_7_norm.jpg,58,1
dataset/train/55_L/55_L_2_norm.jpg,58,dataset/train/55_L/55_L_7_norm.jpg,58,1
dataset/train/68_L/68_L_6_norm.jpg,72,dataset/train/68_L/68_L_3_norm.jpg,72,1
dataset/train/68_L/68_L_6_norm.jpg,72,dataset/train/68_L/68_L_2_norm.jpg,72,1
dataset/train/68_L/68_L_6_norm.jpg,72,dataset/train/68_L/68_L_5_norm.jpg,72,1
dataset/train/68_L/68_L_3_norm.jpg,72,dataset/train/68_L/68_L_2_norm.jpg,72,1
dataset/train/68_L/68_L_3_norm.jpg,72,dataset/train/68_L/68_L_5_norm.jpg,72,1
dataset/train/68_L/68_L_2_norm.jpg,72,dataset/train/68_L/68_L_5_norm.jpg,72,1
dataset/train/103_L/103_L_5_norm.jpg,3,dataset/train/103_L/103_L_4_norm.jpg,3,1
dataset/train/103_L/103_L_5_norm.jpg,3,dataset/train/103_L/103_L_6_norm.jpg,3,1
dataset/train/103_L/103_L_5_norm.jpg,3,dataset/train/103_L/103_L_3_norm.jpg,3,1
dataset/train/103_L/103_L_4_norm.jpg,3,dataset/train/103_L/103_L_6_norm.jpg,3,1
dataset/train/103_L/103_L_4_norm.jpg,3,dataset/train/103_L/103_L_3_norm.jpg,3,1
dataset/train/103_L/103_L_6_norm.jpg,3,dataset/train/103_L/103_L_3_norm.jpg,3,1
dataset/train/13_L/13_L_2_norm.jpg,12,dataset/train/13_L/13_L_3_norm.jpg,12,1
dataset/train/13_L/13_L_2_norm.jpg,12,dataset/train/13_L/13_L_1_norm.jpg,12,1
dataset/train/13_L/13_L_2_norm.jpg,12,dataset/train/13_L/13_L_4_norm.jpg,12,1
dataset/train/13_L/13_L_3_norm.jpg,12,dataset/train/13_L/13_L_1_norm.jpg,12,1
dataset/train/13_L/13_L_3_norm.jpg,12,dataset/train/13_L/13_L_4_norm.jpg,12,1
dataset/train/13_L/13_L_1_norm.jpg,12,dataset/train/13_L/13_L_4_norm.jpg,12,1
dataset/train/108_L/108_L_5_norm.jpg,8,dataset/train/108_L/108_L_7_norm.jpg,8,1
dataset/train/108_L/108_L_5_norm.jpg,8,dataset/train/108_L/108_L_6_norm.jpg,8,1
dataset/train/108_L/108_L_5_norm.jpg,8,dataset/train/108_L/108_L_3_norm.jpg,8,1
dataset/train/108_L/108_L_7_norm.jpg,8,dataset/train/108_L/108_L_6_norm.jpg,8,1
dataset/train/108_L/108_L_7_norm.jpg,8,dataset/train/108_L/108_L_3_norm.jpg,8,1
dataset/train/108_L/108_L_6_norm.jpg,8,dataset/train/108_L/108_L_3_norm.jpg,8,1
dataset/train/23_L/23_L_1_norm.jpg,23,dataset/train/23_L/23_L_7_norm.jpg,23,1
dataset/train/23_L/23_L_1_norm.jpg,23,dataset/train/23_L/23_L_3_norm.jpg,23,1
dataset/train/23_L/23_L_1_norm.jpg,23,dataset/train/23_L/23_L_5_norm.jpg,23,1
dataset/train/23_L/23_L_7_norm.jpg,23,dataset/train/23_L/23_L_3_norm.jpg,23,1
dataset/train/23_L/23_L_7_norm.jpg,23,dataset/train/23_L/23_L_5_norm.jpg,23,1
dataset/train/23_L/23_L_3_norm.jpg,23,dataset/train/23_L/23_L_5_norm.jpg,23,1
dataset/train/20_L/20_L_7_norm.jpg,20,dataset/train/20_L/20_L_4_norm.jpg,20,1
dataset/train/20_L/20_L_7_norm.jpg,20,dataset/train/20_L/20_L_5_norm.jpg,20,1
dataset/train/20_L/20_L_7_norm.jpg,20,dataset/train/20_L/20_L_2_norm.jpg,20,1
dataset/train/20_L/20_L_4_norm.jpg,20,dataset/train/20_L/20_L_5_norm.jpg,20,1
dataset/train/20_L/20_L_4_norm.jpg,20,dataset/train/20_L/20_L_2_norm.jpg,20,1
dataset/train/20_L/20_L_5_norm.jpg,20,dataset/train/20_L/20_L_2_norm.jpg,20,1
dataset/train/47_L/47_L_2_norm.jpg,49,dataset/train/47_L/47_L_1_norm.jpg,49,1
dataset/train/47_L/47_L_2_norm.jpg,49,dataset/train/47_L/47_L_6_norm.jpg,49,1
dataset/train/47_L/47_L_2_norm.jpg,49,dataset/train/47_L/47_L_3_norm.jpg,49,1
dataset/train/47_L/47_L_1_norm.jpg,49,dataset/train/47_L/47_L_6_norm.jpg,49,1
dataset/train/47_L/47_L_1_norm.jpg,49,dataset/train/47_L/47_L_3_norm.jpg,49,1
dataset/train/47_L/47_L_6_norm.jpg,49,dataset/train/47_L/47_L_3_norm.jpg,49,1
dataset/train/17_L/17_L_2_norm.jpg,16,dataset/train/17_L/17_L_1_norm.jpg,16,1
dataset/train/17_L/17_L_2_norm.jpg,16,dataset/train/17_L/17_L_6_norm.jpg,16,1
dataset/train/17_L/17_L_2_norm.jpg,16,dataset/train/17_L/17_L_7_norm.jpg,16,1
dataset/train/17_L/17_L_1_norm.jpg,16,dataset/train/17_L/17_L_6_norm.jpg,16,1
dataset/train/17_L/17_L_1_norm.jpg,16,dataset/train/17_L/17_L_7_norm.jpg,16,1
dataset/train/17_L/17_L_6_norm.jpg,16,dataset/train/17_L/17_L_7_norm.jpg,16,1
dataset/train/37_L/37_L_1_norm.jpg,38,dataset/train/37_L/37_L_3_norm.jpg,38,1
dataset/train/37_L/37_L_1_norm.jpg,38,dataset/train/37_L/37_L_4_norm.jpg,38,1
dataset/train/37_L/37_L_1_norm.jpg,38,dataset/train/37_L/37_L_2_norm.jpg,38,1
dataset/train/37_L/37_L_3_norm.jpg,38,dataset/train/37_L/37_L_4_norm.jpg,38,1
dataset/train/37_L/37_L_3_norm.jpg,38,dataset/train/37_L/37_L_2_norm.jpg,38,1
dataset/train/37_L/37_L_4_norm.jpg,38,dataset/train/37_L/37_L_2_norm.jpg,38,1
dataset/train/94_L/94_L_5_norm.jpg,100,dataset/train/94_L/94_L_1_norm.jpg,100,1
dataset/train/94_L/94_L_5_norm.jpg,100,dataset/train/94_L/94_L_4_norm.jpg,100,1
dataset/train/94_L/94_L_5_norm.jpg,100,dataset/train/94_L/94_L_7_norm.jpg,100,1
dataset/train/94_L/94_L_1_norm.jpg,100,dataset/train/94_L/94_L_4_norm.jpg,100,1
dataset/train/94_L/94_L_1_norm.jpg,100,dataset/train/94_L/94_L_7_norm.jpg,100,1
dataset/train/94_L/94_L_4_norm.jpg,100,dataset/train/94_L/94_L_7_norm.jpg,100,1
dataset/train/106_L/106_L_3_norm.jpg,6,dataset/train/106_L/106_L_5_norm.jpg,6,1
dataset/train/106_L/106_L_3_norm.jpg,6,dataset/train/106_L/106_L_6_norm.jpg,6,1
dataset/train/106_L/106_L_3_norm.jpg,6,dataset/train/106_L/106_L_2_norm.jpg,6,1
dataset/train/106_L/106_L_5_norm.jpg,6,dataset/train/106_L/106_L_6_norm.jpg,6,1
dataset/train/106_L/106_L_5_norm.jpg,6,dataset/train/106_L/106_L_2_norm.jpg,6,1
dataset/train/106_L/106_L_6_norm.jpg,6,dataset/train/106_L/106_L_2_norm.jpg,6,1
dataset/train/63_L/63_L_4_norm.jpg,67,dataset/train/63_L/63_L_5_norm.jpg,67,1
dataset/train/63_L/63_L_4_norm.jpg,67,dataset/train/63_L/63_L_3_norm.jpg,67,1
dataset/train/63_L/63_L_4_norm.jpg,67,dataset/train/63_L/63_L_7_norm.jpg,67,1
dataset/train/63_L/63_L_5_norm.jpg,67,dataset/train/63_L/63_L_3_norm.jpg,67,1
dataset/train/63_L/63_L_5_norm.jpg,67,dataset/train/63_L/63_L_7_norm.jpg,67,1
dataset/train/63_L/63_L_3_norm.jpg,67,dataset/train/63_L/63_L_7_norm.jpg,67,1
dataset/train/102_L/102_L_3_norm.jpg,2,dataset/train/102_L/102_L_1_norm.jpg,2,1
dataset/train/102_L/102_L_3_norm.jpg,2,dataset/train/102_L/102_L_6_norm.jpg,2,1
dataset/train/102_L/102_L_3_norm.jpg,2,dataset/train/102_L/102_L_5_norm.jpg,2,1
dataset/train/102_L/102_L_1_norm.jpg,2,dataset/train/102_L/102_L_6_norm.jpg,2,1
dataset/train/102_L/102_L_1_norm.jpg,2,dataset/train/102_L/102_L_5_norm.jpg,2,1
dataset/train/102_L/102_L_6_norm.jpg,2,dataset/train/102_L/102_L_5_norm.jpg,2,1
dataset/train/56_L/56_L_1_norm.jpg,59,dataset/train/56_L/56_L_5_norm.jpg,59,1
